mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	diminuendo_line	crescendo_hairpin	decrescendo_hairpin
8	7	169/6	169/6	0.16666666666666666		7/24	7/24	Chord	4/4	1	1	1/24	1/16	2/3	218										12	1		3	
8	7	85/3	85/3	0.16666666666666666		1/3	1/3	Chord	4/4	1	1	1/24	1/16	2/3	219											1		3	
8	7	57/2	57/2	0.0		3/8	3/8	Spanner	4/4	1	1	0														1			
8	7	57/2	57/2	0.16666666666666666		3/8	3/8	Chord	4/4	1	1	1/24	1/16	2/3	220										13	1			
8	7	86/3	86/3	0.16666666666666666		5/12	5/12	Chord	4/4	1	1	1/24	1/16	2/3	221										13	1			
8	7	173/6	173/6	0.16666666666666666		11/24	11/24	Chord	4/4	1	1	1/24	1/16	2/3	222										13	1			
8	7	29	29	0.0		1/2	1/2	Spanner	4/4	1	1	0													13				
8	7	29	29	0.16666666666666666		1/2	1/2	Chord	4/4	1	1	1/24	1/16	2/3	223										13				
8	7	175/6	175/6	0.16666666666666666		13/24	13/24	Chord	4/4	1	1	1/24	1/16	2/3	224										13				
8	7	88/3	88/3	0.16666666666666666		7/12	7/12	Chord	4/4	1	1	1/24	1/16	2/3	225										13				
8	7	59/2	59/2	0.16666666666666666		5/8	5/8	Chord	4/4	1	1	1/24	1/16	2/3	226										13				
8	7	89/3	89/3	0.16666666666666666		2/3	2/3	Chord	4/4	1	1	1/24	1/16	2/3	227										13				
8	7	179/6	179/6	0.16666666666666666		17/24	17/24	Chord	4/4	1	1	1/24	1/16	2/3	228										13				
8	7	30	30	0.16666666666666666		3/4	3/4	Chord	4/4	1	1	1/24	1/16	2/3	229										13				
8	7	181/6	181/6	0.16666666666666666		19/24	19/24	Chord	4/4	1	1	1/24	1/16	2/3	230										13				
8	7	91/3	91/3	0.16666666666666666		5/6	5/6	Chord	4/4	1	1	1/24	1/16	2/3	231										13				
8	7	61/2	61/2	0.16666666666666666		7/8	7/8	Chord	4/4	1	1	1/24	1/16	2/3	232										13				
8	7	92/3	92/3	0.16666666666666666		11/12	11/12	Chord	4/4	1	1	1/24	1/16	2/3	233										13				
8	7	185/6	185/6	0.16666666666666666		23/24	23/24	Chord	4/4	1	1	1/24	1/16	2/3	234										13				
8	7	27	27	0.0		0	0	StaffText	4/4	2	1	0						ten.											
8	7	55/2	55/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	235		articStaccatoAbove												
8	7	29	29	0.0		1/2	1/2	StaffText	4/4	2	1	0						ten.											
8	7	29	29	0.5		1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	236										14				
8	7	59/2	59/2	0.5		5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	237														
8	7	27	27	1.0		0	0	Chord	4/4	2	2	1/4	1/4	1	238										15				
8	7	28	28	0.5		1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	239														
8	7	57/2	57/2	0.5		3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	240		articStaccatoAbove												
8	7	29	29	1.0		1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	241										16				
8	7	30	30	0.5		3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	242		articStaccatoBelow												
8	7	61/2	61/2	0.5		7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	243		articStaccatoBelow												
9	8		31	0.16666666666666666	1	0	0	Chord	4/4	1	1	1/24	1/16	2/3	244										13				
9	8		187/6	0.16666666666666666	1	1/24	1/24	Chord	4/4	1	1	1/24	1/16	2/3	245										13				
9	8		94/3	0.16666666666666666	1	1/12	1/12	Chord	4/4	1	1	1/24	1/16	2/3	246										13				
9	8		63/2	0.16666666666666666	1	1/8	1/8	Chord	4/4	1	1	1/24	1/16	2/3	247														
9	8		95/3	0.16666666666666666	1	1/6	1/6	Chord	4/4	1	1	1/24	1/16	2/3	248														
9	8		191/6	0.16666666666666666	1	5/24	5/24	Chord	4/4	1	1	1/24	1/16	2/3	249														
9	8		31	0.0	1	0	0	StaffText	4/4	2	1	0						ten.											
9	8		31	1.0	1	0	0	Chord	4/4	2	1	1/4	1/4	1	250														
10	8	31	32	0.16666666666666666	2	0	0	Chord	4/4	1	1	1/24	1/16	2/3	251										17				
10	8	187/6	193/6	0.16666666666666666	2	1/24	1/24	Chord	4/4	1	1	1/24	1/16	2/3	252										17				
10	8	94/3	97/3	0.16666666666666666	2	1/12	1/12	Chord	4/4	1	1	1/24	1/16	2/3	253										17				
10	8	31	32	0.0	2	0	0	StaffText	4/4	2	1	0						ten.											
10	8	31	32	1.0	2	0	0	Chord	4/4	2	1	1/4	1/4	1	254														
10	8	63/2	65/2	0.5	2	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	255		articStaccatoAbove												
